bugId,description,severity
18968,'Go to Next Problem' icon remains pressed,major
25126,Cannot open cu outside classpath,minor
34955,ctrl-space content assist broken in var view,major
66157,ProjectionTextStore.replace() not consistent with intended ITextStore semantics,minor
66234,[projection] Revert file sometimes does not display the imports,minor
15395,AssertionFailedException when creating new Java project,minor
19714,Eclipse crashes: Drag & Drop,major
26747,IllegalArgumentException reading build state,major
191739,"""Duplicate nested type"" bogus error on static class of abstract class or interface",minor
278745,"Methods overloaded with unavailable types worked in 3.4 but give ""indirectly referenced.."" error in 3.5",major
16336,DavRemoteTargetResource.isContainer should throw,minor
17891,Should not assume type of PropertyChangeEvent values,major
20008,TVT2: hardcoded strings in plugin registry,minor
20307,TVT2: hardcoded strings for Team,minor
20308,TVT2: Clashing mnemonic in Export>Team Project Set page,minor
20341,TVT2: clashing mnemonics in Tag with Existing Tag in CVS perspective,minor
8048,Drag moving a package into same project results in data loss,major
20305,"F3 build, Update test C6, wrong permissions on updated SWT libraries",major
170884,[open type] problem with incomplete results,major
171051,Tons of jobs from from open type/resource hanging around,major
18925,Editor coolbar contributions not disabled,major
19238,Widget is disposed and null pointer exceptions changing perspectives/manipulating toolbar,major
23401,[JFace] Ctrl+A in Types view opens all files in single click mode,major
53971,Unexpected huge amount of computation for field rename,major
342295,[templates] Template variable names can only contain ASCII characters,minor
431966,"Relaunching with many editors opened, the caret disappears when switching editors.",major
184546,[compiler][null] Spurious redundant null check warning in finally when the class has a static field,minor
219461,[compiler][options] Limit warning for unecessary unchecked exceptions to Throwable and Exception,minor
150404,[CommonNavigator] CDT Projects appear twice,major
193577,[CommonNavigator] Remaining glitches with Web project java navigator provider,major
231081,[Markers] Polish Problems view's columns preferences,minor
66660,[PerspectiveBar] NPE in PerspectiveSwitcher.saveState,major
178634,Deadlock while launching tests just after having started my workspace,minor
179122,[performance] breakpoint performance tests,minor
268876,[launching] OK button disabled in Select Preferred Launcher dialog,minor
290220,API tooling keeps lock on files (was: import fails because files cannot be deleted),major
290324,Poor API builder performance on manifest changes,major
308539,Debug creates many ASTs with bindings on Save,major
18625,Tabbing in Java editor takes cursor,minor
20265,F3. test C3. No new updates for Eclipse on HP.,minor
5216,"TVT1: Cannot type characters a, c, f, p, v, x, y and z in Task List description field on German machine",major
13749,NPE on opening a multipage editor. MultiPageEditorPart isDirty should check for null,minor
19053,Layout problem opening view,major
54734,Missing/wrong icons,major
60606,[Navigator] (data loss) Navigator deletes/moves the wrong file in 3.0M8,major
76669,[Perspectives] NullPointerException in Perspective.getFastViewWidthRatio(),major
90788,[RCP] Remove M6 TODOs  in WorkbenchAdvisors,major
93238,[Workbench] CCE in XMLMemento while exiting my workspace,major
423439,"[1.8][clean up][quick assist] ""Convert anonymous to lambda"" needs to consider ambiguous target types",major
18255,NPE during Organize imports.... See test5 in UI tests,major
40495,VerifyError with return statements containing a cast expression,major
101453,java.lang.UnsupportedOperationException: Operation only supported in JLS2 AST,major
290273,R3_5_maintenance branch in inconsistent state,major
298878,Deadlock in breakpoints view,major
365825,[flex] Copying the stack trace in Debug view never completes.,major
65824,"banner on generated javadoc should read ""Release 3.0""",minor
276971,[target] old plug-ins with non-bundle manifest not recognized by target platform,major
7455,Build problems when instance variable name matches constructor parameter name and assignment to this.name in try block,minor
9169,Wrong code generation for comparison of string constants,major
13852,Cannot generate EJB inheritance deployed code without debug info,major
20325,"CP Variable - should not persist ""initialization in progress"" value",minor
25894,Memory leak - Global ThisReference is leaking bindings,major
26098,Wrong line number attribute.,major
57037,CVS checkout of module fails in M8,major
95907,Create Patch references stale information,major
96202,Removing a file does not work in package explorer,minor
112927,[performance] Update CVS workspace job takes too long,minor
132255,Merge corrupted image,major
136448,Replace with version should clear changes in the sync view,major
138902,CVS synchronize operation marks file as 'edited',major
68039,Search/Replace may currupt files if their content got modified during validateEdit,major
133715,[Model Sync] Handle cancel of diff collection,minor
134038,[Model Sync] unresponsive contect menu in synchronize view,major
136188,[Model Sync] Auto-merge fails for mergable case,minor
138493,(NeedsApproval)Exception in synchronize view,major
47691,[implementation] Update plugin.xml to run with new runtime,major
55615,[implementation][api] Sleeping scheduled synchronize task is blocking the workbench,minor
405942,Please adapt Eclipse to the new Runtime.exec behavior in Java 1.7.0_21 and Java 1.6.0_45,major
132450,Search for updates on features with dependency requires multiple searches,major
99155,[RCP] [Perspectives] Perspective extension with standalone=true and visible=false doesn't work,minor
120934,[WorkbenchParts] NPE in PresentablePart.removePropertyListener(,minor
123789,"[WorkbenchParts] 'Maximize' state should be view, not folder-bound",minor
124200,[WorkbenchParts] hideView does not work on perspective deactivate callback,minor
125567,[MPE] Service activation should be done in a different method,minor
125703,[Commands] handlers: Some handlers are not being registered in the Java editor,major
126044,[Contexts] Latest key binding changes break Quick view key bindings,minor
126465,[MPE] first page is blank upon creation,minor
126578,[Commands] handlers: Each opened Text and Java editor is leaked due to ProxyKeyBindingService,major
135535,[KeyBindings] Key bindings lost in the Java editor,major
138283,[KeyBindings] Action set with accelerator causes conflict,minor
171522,"[KeyBindings] When ""@Ctrl+Break"" was appended into lable of menu, Workbench can not startup",major
179036,[Commands][Contributions][Context][KitchenSink] verify expression evaluation characteristics,major
332246,<visibleWhen> clauses are not honoured on the first popup,minor
376269,Editor Mapping Lookup in EditorRegistry assume file extension is not empty,major
385565,[Contributions] Menu contribution processing has different results in 4.2 than 3.8,major
433492,IAE in ModelServiceImpl.findElementsRecursive(ModelServiceImpl.java:140),major
183127,[package explorer] [working sets] Working set order lost for non visible working sets,minor
338531,Wrong ordering of elements in WorkingSetModel.fAllWorkingSets,major
18182,BooleanFieldEditor gets out of synch after restoring defaults,major
19848,Action multiple set contributions lost when one action set removed,major
21041,[Update] Force welcome page first time a new feature is installed,major
337150,[typing] Incorrect indentation in string continuation,minor
338229,[typing] Incorrect indentation in string continuation (press Enter in front of +),minor
16617,Selecting External Tool location from Workspace doesn't run,major
16866,"[ExternalTools] Extra ""Tool Location does not exist"" error",major
16919,[ExternalTools] Canceling external tool gives useless error message,major
17005,[ExternalTools] Log Console does not completely draw,major
17478,[ExternalTools] Not all builders get run on incremental build,major
18748,External Tools Configuration dialog Details field is too short,major
310500,[LinkedResources] NPE in WizardFileSystemResourceImportPage1,major
23566,Accessibility - toolbar not accessible by keyboard,minor
32360,Embedded display not waking on new Photon events (BBAWT),major
34463,confirm exit checkbox cannot be selected,minor
48849,Keyboard events ignored in Import Plug-ins and Fragments dialog,minor
57099,GTK: Text widget of style MULTI does not send mouse track events if added to realized Shell (BBAWT),major
58615,Setting italic font for tree items does not work on Mac,minor
64791,[KeyBindings] accelerator strings displayed incorrectly.,minor
75210,Cannot create a patch to a new file,major
19540,XMLMemento.createReadRoot can return null,major
61316,SWT error occurred on Eclipse 200405060200,major
18928,doc/ subdirectory missing from help.ui plug-in in binary runtime drops,major
19185,launchersrc.zip should live in org.eclipse.platform.source plug-in,minor
465309,[GTK3] No icon showing in open type dialog,major
416267,NPE in QualifiedAllocationExpression.resolveType,major
130281,[Dialogs] Empty error message shouldn't take focus in JFace InputDialog,minor
55486,Alt+- does not open a proper system menu,major
55927,[ViewMgmt] [RCP] Should not be able to detach fixed views,major
56112,mainwindow freezes when maximizing fastview,major
56829,CBanner not sized correctly after coolbar wraps,minor
58560,[DetachedView] Detached view toolbars stop working,major
59722,BasicStackPresentation should use ViewForm,minor
62325,Unhandled event loop exception: Graphic is disposed,major
62622,[Keybindings] Pressing Esc takes focus from editor,major
63258,[ViewMgmt] minimized view is hidden on perspective switch,major
66000,[ViewMgmt] AssertionFailedException in DefaultPartPresentation.getTabFolder,major
69900,[EditorMgmt] Editor cannot be closed after it is activated for the first time.,major
70362,[EditorMgmt] Topmost editor not properly restored,major
72272,[ViewMgmt] NPEs on shutdown of I20040817,minor
89246,"[EditorMgmt] PartInitException: No saved state can be found for this editor, when closing editors",major
92019,IAE in TextStyle constructor when disposing PDEFormEditor,major
92148,[WorkbenchParts] Global Refactorings disabled after opening editor,major
94457,[WorkbenchParts] (regression) toggles in debug views do not restore state properly,minor
96229,[api] missing specs in ShowViewHandler,minor
96489,[Presentations] (regression) Standalone view without title has no border,minor
104991,[WorkbenchParts] Cannot reopen closed views,major
411724,[Trim] Hidden toolbar doesn't stay hidden,minor
466112,[Gtk] SWT returns incorrect Monitor client area on GTK,major
469537,Eclipse throws LinkageError if an annotation processor uses a class that is also used by (or part of) Eclipse,major
485748,Progress bar stays even after completion,minor
113957,[ErrorHandling] Difficult to interpret error dialog,minor
168720,[Progress] No prompting on errors from jobs,major
169458,[ErrorHandling] New status handling shows wrong severity icons,major
173049,"[ErrorHandling] multiple stacked ""Internal error"" dialogs after OutOfMemoryError",major
176153,[StatusHandling]Endless Loop After Out Of Memory Exception,major
176501,Dynamic StatusHandler Failures in N20070306,major
184090,Test Status Handler should only be enabled when running the test suites,major
231301,"An internal error occurred during: ""Updating workspace"".",major
14807,Doing backward find/replace all causes infinite loop,minor
15380,Add Bookmark action is disabled in the Editor,major
15486,Hierarchy View takes 8 minutes to start up,major
16007,Should have link for Java perspective in Welcome page,major
16413,"Strange ""Organize Import"" behavior",minor
16822,Search results should be removed when cu is moved,major
17020,Refactor move class not updating imports,minor
17058,Error messages not shown in status bar,major
17143,NPE when attaching source,major
17149,Libraries-Path in Java Build Path gets broken,major
17171,Quickfix: no proposal for wrong inst var initialization,major
79369,Move to new file refactoring does not detect,major
8649,Alt+Enter/Ctrl+Enter are not effective in JP env,major
19358,NPE in WorkbenchPage.busyResetPerspective,major
23987,Walkback when using New Folder Wizard,minor
24356,API broken in ErrorDialog,major
44075,Busy progress does not lock out all shells,major
54748,"progress, background operations, and novice users",major
55162,IPresentablePart needs to be able to opt out of done state,minor
55931,[Workbench] NullPointerException in WorkbenchPage.setPerspective,minor
57851,[Progress] NPE in WorkbenchSiteProgressService,major
57907,[Progress] NPE in workbenchsiteprogressmanager,major
58309,workspace builds are not completing,major
58788,[Progress] ProgressMonitor leaks,major
58992,UI deadlock syncing workspace,minor
59361,[Workbench] AbstractUIPlugin should have start(...) and stop(...) methods,minor
59727,[Progress] ProgressDialog hides modal dialog,major
59782,[Progress] Deadlock in reentrant workspace.run,minor
60236,[Progress] non-responsive blocked dialogs,minor
60431,[Progress] Widget is disposed error in BlockedJobsDialog,major
60445,[Progress] PROPERTY_IN_DIALOG not set to false when preference run in background is set,minor
60698,[Progress] ConcurrentModificationException in NewProgressViewer,minor
60699,[Progress] Widget is disposed Error in ProgressMonitorFocusJobDialog,minor
61145,ErrorDialog not showing inner statuses,major
62368,JobManager deadlock,major
62839,[Viewers] Invalid thread access when turning on decorators,major
64123,Memory leak in WorkbenchSiteProgressService,major
67612,[Progress] Searching dialog not closing,major
71742,[IDE] use long-running operations to set encoding,major
74319,[Preferences] Some preferences aren't persisted on shutdown,major
74472,[Preferences] ScopedPreferenceStore.isDefault() returns false when the pref has been set to the default value,major
77339,[Progress] [Dialogs] The workbench leaks dialogs,major
77548,[Encodings] Cannot open the project's preferences page when running on a 1.5 VM,major
78878,[Preferences] Navigation history for workbench preference page,minor
81164,restoreDefaults for ViewsPreferencePage referring to wrong preference store,major
82496,[Preferences] Custom PreferenceNode fails in R3.1 M4,major
84076,[Viewers][Progress]Refreshing Variables View blocks UI thread,major
85146,[Preferences] keywords: Only first word taken,minor
86958,[Viewers] Adding many adjacent children to a TreeViewer is slow,minor
87089,[Viewers] LabelProvider.getImage is not invoked after the TreeViewer changes introduced on 24/01/2005,minor
88175,NPE opening ShowViewDialog,major
88993,[Viewers] CCE in AbstractTreeViewer.indexForElement(..),major
89071,[Progress] Progress dialog prevents access to modal error dialog,major
92835,[Viewers] retrieving projects from CVS creates duplicate resources in Navigator,major
93360,[Viewers] getChild still used in indexForElement,minor
106388,Directory dialog is unusably slow,major
110243,heap monitor causes errors during tests,major
123977,[Markers] NPE in ActionCopyMarker.setClipboard,major
176993,[Wizards/BiDi] JFace Wizard background image not mirrored for Bidi Languages,major
178906,Infinite error dialogs due to error closing error dialog,major
171824,[Viewers] Lots of flickering when using TableColumnAdapter,minor
185611,[History View] The dropdown for past inputs in the history view isn't responding to property changes,minor
189025,Compare with Latest from HEAD results in empty revision,major
36248,[Team] Ignore schema differs from code,minor
52110,lines containing colon dropped from CVS server responses,major
72669,Deleting a modified file doesn't update icon decoration in Synchronize view,minor
127513,[Model Sync] Opening sync wizard blocks UI if building,minor
143852,Interface org.eclipse.compare.internal.ISavable should be made public,minor
143855,class org.eclipse.compare.internal.CompareNavigator should be made public,minor
143858,Interface org.eclipse.compare.internal.INavigatable should be made public,minor
182225,LocalHistoryPageSource can't show history for IAdaptables,minor
32122,Cannot insert lines into new file code template (regression failure),minor
23167,NPE: Import with source fails on Linux and windows,major
50702,Project set import fails due to lack of user name,minor
17024,Emacs key bindings for find actions are non-standard,major
17086,Emacs: problems with mark,major
3348,DCR: Code formatter enhancement (1GIYHQR),minor
3502,DCR: open package to hierarchy (1G8Q7UL),major
3762,Last red x annotation not removed. (1GEP8JW),major
4070,DCR: F4 should work in packages view (1GHHA0L),minor
4159,Organize Import: Select type could show reference location (1GJGZFO),minor
6027,Plugin import wizard 1st page finish button does nothing,minor
6424,Example Project Creation Wizard should provide a default name,minor
6672,jar no longer exported after attach source,minor
7252,Can add a variable with no associated jar file to a build path,minor
7591,Flicker when toggeling show inherited filter,minor
7936,No JavaDoc Content Assist in default package,minor
8317,Missing mnemonics in Java-->Compiler preference page,minor
8686,Type Hierarchy: no methods shown,minor
8815,Open Hierarchy does not set focus correctly,minor
10557,IllegalArgumentException undoing organize imports,minor
15263,Code-assist doesn't properly indent when overriding a method,minor
15544,JavaDoc wizard includes non-selected packages,minor
17801,Organize Imports dialog: default button should not be Cancel,minor
19035,Validating Javadoc location causes connection refused in .log,major
19045,Not Present exception: when changing the output folder,major
26919,Default value 'f' should not be in pruning list for field accessor generation,major
27636,Organize Import ordering differs for different VMs,major
29651,allow source attachment changes on classpath container entries,minor
31129,Generated Javadoc is shifted left,major
31692,NPE in ProblemsLabelDecorator.isInside,major
33373,Internal error generating javadoc for simple project,major
33374,Allowed to add a package to a non-java project,major
33968,bin directory not ignored in synchronize,minor
34203,Generate setter produces incorrect code,minor
34613,Adding source folder throws JavaModelException,major
35246,NPE selecting Javadoc location for a JAR,minor
35265,NPE in classpath variables page,major
35381,Newly added items are not inserted at correct position in package explorer,minor
42625,Default for compiler compliance level,minor
43248,"""Assign statement to local variable"" removes preceeding comment [quick assist] [ast rewrite]",major
48154,NPE invoking quickfix on class [quick fix],minor
48426,'Assign statement to new field' quick fix does not work in static initializer,minor
48473,code and comments preference section is blank,major
51648,ClassCastException after aborted local rename,minor
56105,Shouldn't use @todo as a default todo tag,minor
57299,Exception when displaying Javadoc after 'Generate Javadoc...' wizard [javadoc],major
61700,NPE during externlize string [refactoring] [nls],major
62437,Hang on 0506 build related to indexing?,major
66688,Search dialog: 'Customize' button has wrong size,minor
66888,Externalize Strings uses wrong newline character [nls] [refactoring],major
67042,Use of xmlFirstTag causes problems on files with BOMs,minor
67199,Compiler pref page: Still refers to 'Full build',minor
67427,"[quick fix] incorrect caret in ""assign to local variable"" quick fix",minor
67468,regression - Content assist proposals class names not sorted,minor
76756,Project properties UI: Required projects can not be removed,minor
86078,JavaCapabilityConfigurationPage broken in 3.1M5? [code manipulation],minor
86107,ClassCastException while importing Organize Imports preferences,minor
91938,[ast rewrite] new API: move range of nodes and replace,major
93270,[new wizard] Autobuild turned off by wizard,minor
99644,[quick fix] Unused parameter quick fixes have disappeared (regression?),minor
104933,Vertical markers disappear,major
106814,[code manipulation] 'Add import' leaves '.' before type name,minor
108761,Deadlock while selecting method in Outline View,major
119251,"[quick assist] ""Invert if statement"" removes parts of condition",minor
157187,[refactoring] actions related to refactoring scripts should be API,minor
214123,AIOB searching for references to java type,major
144960,[Help] Use of new PLUGINS_ROOT macro in an href breaks synchronization with Table of Contents,minor
178352,[Webapp] Sync with toc doesnt work with anchors,minor
187610,[Help] On Linux TOC links to external sites fail,major
188916,Web Browser cannot handle .xhtml files,major
191062,[Help] Help - Dynamically created Contents show in English regardless of -nl option,minor
26980,[Cell Editors] ComboBoxCellEditor is too small,major
30327,[Cell Editors] Activation delay too long for table view cell editors,minor
31564,[editor mgmt] Remove EditorList Preferences and View,minor
4124,refactoring: classpath should be updated (1GIRE4Z),minor
4965,Compare browser needs to be smarter,minor
6380,Rename source folder changes classpath order,minor
7630,rename temp: renames wrong temp in a multi declaration case,minor
7914,Cannot copy a Java project in the packages view,minor
7923,Extract Local Variable should be more robust against syntax errors,minor
7924,Consolidate Rename Method Parameter and Reorder Method parameter,minor
8210,Pull Up: Usage of editor selection is confusing,minor
8219,Pull Up: dialog details,minor
8895,Extract local variable in if statement results in incorrect code,minor
11026,extract local variable: incorrect on some boolean expressions,minor
11449,extract temp: incorrect on anonymous types,minor
11453,rename temp: incorrectly dissallowed,minor
11474,extract temp: incorrect on method call not used in expressions,minor
16554,"""Reconcile Java views"" preference is meaningless",minor
18067,Packages View filters not applied when eclipse restarted,minor
18298,Organize imports creates import errors,minor
18637,Templates preferences: table layout problem,major
19066,NPE in RenameTempRefactoring,minor
19461,Accessability: Syntax colore preference page,minor
23692,NPE in Extract Interface,major
24915,Use Supertype Where Possible: should update UI when checkbox changes [refactoring],minor
31113,Don't offer to do a deep copy/move of linked resources,minor
31288,read-only source folder not renamed,minor
33028,hang in clipboard get contents [reorg] [ccp] [dnd],major
33405,Refactoring extract local variable fails in nested if statements,major
35379,"(possibly regression) Moving to default package adds "".*"" import[ccp]",major
38495,Call hierarchy: OperationCanceledException when pressing stop,minor
38512,[call hierarchy] should open callee on double click,minor
351444,[1.7][content assist] Need to know whether I can use diamond,minor
6381,Cleanup Add/Replace Local History items in Package Viewer,minor
13844,TextMergeViewer should keep track of its posted runnables,minor
14738,Search Scope selection enables the search button,minor
16253,Format should not have ctrl+O accelerator,minor
16533,Next/Previous error also selects all other markers,major
16613,"""Name filter patterns"" don't filter after relaunch",major
16694,Refactor->Extract Method does not generate method sig with [].,major
16737,Refactoring: Inline Local Variable behaviour wrong,minor
17310,Search Page Selection - Deselect All does not update the ok button state,minor
28840,Strange behavious applying patch,major
32737,NegativeArraySizeException: Compare/patch preference page,minor
34745,Incoming changes get in twice,minor
42691,Eclipse  goes 100% cpu after project refresh in package explorer,major
46085,launching SWT based applications broken,major
46181,Renaming Eclipse.app prevents SWT apps from launching,minor
47897,deadlock in OpenType action [misc],minor
55348,NPE in TextMergeViewer.interpolate,major
60383,Copy All non-conflicting changes from right-to-left erase left-to-right changes!!!,major
62883,[Progress] Images in progress area are misaligned and chopped,minor
65515,"Local History always says ""Parsing Error; no structured Replace Available""",minor
67888,[accessibility] Go To Next Difference stops working on reuse of editor,major
74801,[Progress] Invalid Thread Access in AllTypesCache,major
109432,incorrect bootpath in eclipse.ini,major
112400,Change required due to ResourceMapping API,minor
274694,[target] [editor] Target editor is dirty but can't save,minor
114485,Project created with default JDK and compliance set project specific values,minor
114547,clean up does not run when finish is chosen from the resource selection page,major
137172,[nls tooling] constant is falsely recognized as NLS key constant,minor
139706,"""Link Source Folder"" must check that new folder does not yet exist",major
140299,failing Serial Version Clean Up test,major
140312,'Occurrences in File' quick menu (Ctrl+Shift+U) not available in binary class,minor
217790,[breadcrumb] Remove left/right arrows,minor
217800,[breadcrumb] Exception when selecting entry from dropdown,major
222549,[navigation] Multi-hyperlink shell at wrong location,minor
223558,[breadcrumb] Blocked in endless display loop while opening dropdown,major
223586,[misc] NPE on enumerations in javadoc view,minor
68033,popup menu has no size in ctrl+e drop down editor list,minor
90096,[Progress] CVS repositories view flashes while browsing CVS,minor
93193,[Dialogs] Infinite search in project import dialog,major
19040,Search entry field invisible in High Contrast Black,minor
20243,Javascript error when going back from external link,minor
66807,"When installing an update of a feature, the targets location should match that of old feature",major
58777,[Viewers] add API to not deactivate CellEditor on FocusLost,minor
87583,[Workbench] Showing progress on startup,minor
96463,[WorkbenchParts] (regression) Toolbar flashes when switching editor instances,major
107656,[Viewers] DeferredTreeContentManager has API methods that take internal parameters,minor
117935,[DataBinding] two-way IConverters are superfluous; switch to one-way,minor
122457,[Viewers] IllegalThreadStateException in BackgroundContentProvider,major
125272,"[Viewers] AbstractTreeViewer needs remove(Object parentElement, Object[] childElements)",minor
125560,[Viewers] Invalid thread access on tree viewer results in NPE,minor
125708,[Viewers] subtle change with AbstractTreeViewer#getSelection() and #setSelection(..),minor
142564,"Eclipse hangs when deleting a ""dirty"" product file from a project",major
142785,NavigatorSaveablesServices NPEs on shutdown,major
146951,[EditorMgmt] Files shown with wrong icons in the navigator,major
179305,[DataBinding] Required-Bundle: org.eclipse.core.runtime,minor
186211,[Viewers] SWT/JFace: TreeViewer unable to show same image in different columns,major
189521,[QuickAccess] Ctrl+3 popup doesn't handle Home and End keys,major
190056,[WorkbenchParts] Memory is leaked when opening a saveable part in new window,major
208916,[Viewers] Expose API to determine whether a viewer is busy,minor
210706,Make sure that services contributed by third parties work with dynamic plug-ins,minor
213718,[Viewers] OwnerDrawLabelProvider: bug with getData,major
236628,[Viewers] [JFace] Excessive Memory Usage by Project Explorer because of styles,minor
272307,[Mac] CocoaUIEnhancer crashes with NullPointer under Mac OS X Cocoa when running Riena example,major
298770,[GTK2.18] Clicking in hover help eats left clicks for entire X session,major
380676,NPE when attempting to create keybinding for empty binding contexts,minor
19691,[Team UI] Preferences not working with import/export,major
21378,GTK: Shell event's doit flag ignored when shellClosed() is called,minor
21423,GTK : GPF in Shell.setVisible(),minor
21449,GTK: Calling Text.setSelection() causes GPF,minor
21456,GTK: Cannot type in Text widget contained in Shell which has style bit as NO_TRIM,minor
274889,[ui] start levels read-only in product configuration editor,major
233466,[Webapp][Security] Site redirection vulnerability in Eclipse Help System,major
277350,[Help] OnMac OS child windows of he help browser are far too large,major
277831,[Help][Context] F1 broken for parts that provide a IContextProvider adapter,major
87586,View closure doesn't pay attention to perspectives,minor
88065,Setting a JavaStratrumLineBreakpoint when an application server is attached is very slow,major
90289,>1 debug worker thread calling IStackFrame.getVariables(),minor
94440,Exception breakpoint shown as part of project when breakpoints are grouped by project.,minor
95477,"Infinite ""restore viewer state"" in Registers view",minor
95662,Activity enablement not working in debug platform,minor
119025,Selection and detail string in Variables view lost if label changed,minor
120200,Stepping performance deteriorates for testcase with many variables,minor
125868,Invalid Thread Access when launching,minor
134833,Thread Change events not handled properly,minor
139079,Left-over instruction pointer after debug is terminated,major
139530,SWTException when workbench is shut down,minor
139593,Expression View does not clean up children when an expression becomes invalid,major
212439,Unable to change variable value when stopped in JSP,major
47169,does not present frames correctly,minor
51882,Project builders property dialog fails with graphic disposed,major
51937,Widget is disposed problem possible from BuilderPropertyPage,minor
50212,[formatting] Repeated insertion of new line when formatting javadoc comment,minor
51594,[formatting] IllegalArgumentException when formatting comment code snippet in segmented mode,major
51654,[formatting] formatter removes last line with block comments,major
52346,[misc] Undo yields wrong code,major
55204,Prefs > Java > Code Formatter > Comments: Preview incorrect,major
57011,[formatting] AIOOBE when formatting Javadoc,major
60703,[performance] M8 Editors take longer to open than R2.x editors,major
61172,[rulers] quick assist hides quickfix icon,major
61508,Internal error in sematic highlighting job,minor
61729,NPE in OverviewRuler,major
62662,[performance] OutOfMemoryError commenting StyledText,major
64108,Javadoc keywords settings no longer work in Java Editor,major
64345,IllegalArgumentException checking out project,major
66094,IAE / Some copy operations don't pick up all of the collapsed regions,major
67046,Exception when dragging a method to another class using the package explorer,major
77949,[implementation] ProjectionSummary$Summarizer can run while editor closes,minor
81348,Refactoring logs exception from JavaReconciler,minor
3736,DCR: Go to line - would be nice to show valid range (1GEHSDX),major
6308,Open type dialog should trim entered value,minor
10247,Template - code assist ends template editing,major
23069,Class wizard fails with file/typecomment enabled [regression] build I0827,minor
23425,Code-Templates with linked positions fail [regression] [build I0911],major
23806,Cursor not located property in template [template] [code manipulation],minor
25129,IAE in eating code assist,major
25169,Eating CA: visual indication remains,minor
25540,Automatic javadoc format should not apply to non-javadoc comment,major
51215,fix partioner to handle angle brackets in attribute values.,major
54913,Logical structures do not work for generic types,minor
55242,NPE on shutting down Eclipse,minor
56657,External tool builders need to adapt to new build story,major
56850,DebugViewDecoratingLabelProvider.computedText never cleared,minor
61221,No progress dialog when prompted to wait for build,minor
63050,NPE in VariablesViewContentProvider,minor
63374,NPE in LaunchView.partClosed,minor
64188,Classcast exception when trying to resolve non-stackframe object,minor
66883,"RC2, external tools: VM arguments not forwarded to separate JRE",major
69229,Importing Preferences overwrites existing classpath variable values,minor
73870,[misc] NPE when terminating large output,major
75972,StepIntoSelection action is no longer disabled for non JDT debugger,minor
76032,"inconsistent ""Run"" rightclick menu on French OS vs. English OS",minor
77421,[Themes] default text editor font changes by itself,minor
78040,Viewing members in object causes out of memory,major
78318,Backport performance tests,minor
79304,Incorrect stack frame selected,minor
79757,NoClassDefFoundError when opening type,minor
79919,"Process terminated, VM left hanging",minor
80382,Copy/Paste results in a divide by 0 error in the Ant editor,major
80431,External buildfile does not have Run As / Debug As,minor
80857,ProjectSourceContainer fails to search for files specified by relative paths,major
81249,"toString() as variable label causes ""no suspended threads""",minor
81337,Preference page for installed JREs changes title when setVisible,minor
82627,Source containers should be case-insensitive on platforms that are case insensitive.,minor
83022,"""show type names"" not working with detail formatter",minor
84078,RemoteTreeContentManager should override default job name,minor
85663,Debug view does not show all threads,major
86278,Deadlock while debugging using M5a,major
87420,Provide feedback during source lookup,minor
87569,Infinte loop obtaining image when switching to Debug Perspective,minor
88454,Should avoid explicit checks for [I]FileEditorInput,minor
89548,no message for native methods in var view,minor
89693,Exception occurred when looking at monitors,minor
89865,Poor debug performance in I20050330-0500,minor
89936,"Breakpoint with ""Suspend VM"" doesn't show correct thread",minor
90518,JAR debug plug-ins,minor
90782,DBCS3.1: Internal error occurred retrieving targets,major
91543,Exception when placing a breakpoint (double click on ruler),major
91776,Primitives show [+] when no children,minor
91786,"top frame annotated as ""secondary""",minor
92141,Missing icon in DisplayView,minor
92244,SelectedResourceManager copies entire text selection upon every selection change,minor
92349,Potential memory leak: CompletionEngine retained without active content assist,minor
92838,[api] add missing @since 3.1 tags on API added in 3.1 cycles,minor
92902,Can't launch with errors,major
93800,Serialize requests per target,minor
93803,Debug view should not change selection when already on suspended frame/thread,minor
93805,Run/Debug as menu should never be empty,minor
93909,No longer able to launch java application from navigator view folder,minor
94212,Cannot set method breakpoint in generics,minor
95585,Couldn't set breakpoint anymore,minor
95679,Source not found,minor
98389,Stack overflow when launching from within project with circular plugin dependancy,minor
105767,Javadoc missing from IRuntimeClasspathEntry entries,minor
117072,[flex-hierarchy] suspend event may occurr before proxy installed,minor
117093,[flex-hierarchy] Drop to frame doesn't clear old current line annotations.,minor
117095,[flex-hierarchy] resuming one thread does not select next suspended thread,minor
117101,[flex-hierarchy] select/expand states not cleared from cache,minor
120596,Should warn when no exact match for execution environment on build path,minor
120606,[variables] Static variables disappeared after clicking a variable,minor
120627,Javadoc location reappears after I've cleared it,minor
124160,step actions become disabled,minor
125490,Debug view not populated when a breakpoint is reached,minor
132671,[variables] Error dialog after clicking into value field,minor
133750,Copy variables action should include columns to copy values of variables,minor
136146,JRE container with EE is not backwards compatible with 3.1,minor
139576,unable to get the 'value' column back in variables view,minor
139859,selection lost while traversing tree,minor
140179,Name of default JDK set to Home,major
140828,JRE_CONTAINER is not directly compatible on Mac,minor
141908,Memory Leak in debugger,major
143805,[viewers] array does not grow when parent not visible,major
148247,[launching] Creating launching configurations doesn't use the selected class anymore,major
24028,"[Key Bindings] ""Show Tooltip Description"" and ""ContentAssist"" don't show Shortcuts",major
35750,[Key Bindings] Accelerator Key doesn't work if items are added to Help menu,major
53069,[Workbench] Double-click on editor tabs does not maximize,major
